avg_grade,grade_std,min_grade,max_grade,n_courses,avg_brs,satisfaction_score,engagement_score,workload_perception,stress_level,motivation_score,anxiety_score,n_essays,avg_essay_grade,trend_grades,grade_stability,cognitive_load,overall_satisfaction,psychological_wellbeing,academic_activity
3.3160416308347096,0.8500120705334882,2.1200657339895734,4.763370252405913,8,46.1156105366361,1.2333330891392067,3.7519680745427206,1.4180970862572475,7.089046080428327,3.982103086341018,9.734019561875337,1,2.985889387913329,0.8715928216270532,0.25556266724183113,3.4750800843142735,2.4926505818409637,2.386345814679118,5.544027753889806
3.302229868699054,0.5584603232267253,2.545473416408726,4.123354107612004,7,43.686558951867234,1.6149761143358239,2.032321845431683,3.9182843874283004,0.5809665399018993,2.911385674793693,0.2706065404711533,3,3.6361228511186345,0.1389891197541986,0.1686055453168388,3.3058451049195,1.8236489798837534,7.3532708648068805,6.534819912466037
3.2669362256837218,0.7043574304846065,2.23336462917049,4.090773263996328,6,33.22074472713693,4.790629067876381,4.711809019862528,3.5010521101733367,0.5984718972688852,7.102414063609225,7.279763224123879,4,3.5794630575217603,-0.6095500871652564,0.21494389331231026,3.200192039205186,4.751219043869455,6.408059647405487,6.8446241504558145
3.025244815008,0.9098883457209286,2.0,4.244467520616881,9,37.399492267487204,3.171421404125356,3.691609440661593,1.3509386575235673,3.7060140318098265,6.513584050512053,8.166215242927363,4,3.377658808916986,-0.41147992698528446,0.2997742854948359,2.80263044895232,3.4315154223934745,4.880451591924955,7.683496543338666
3.3705636734082307,0.8404766734652434,2.0,4.730429253172775,7,39.50729442389337,1.2537972146401515,4.21070741855028,2.3549951825577686,1.9496396412370909,4.407776525463927,0.5317328667648757,3,2.9185338050914122,-0.12738852696174696,0.24862027598429706,2.7198766687842095,2.7322523165952157,7.3088013391539866,6.580375782272154
3.628582004587945,0.6982525958473869,2.326425691856379,4.270113031999761,7,55.911192923161025,3.772351035078292,1.1974161727966592,1.5997227581600426,9.347807913084203,3.9785467577923717,5.789696640162457,1,3.532792250676532,1.1461003093040083,0.19190239356071934,4.3490844764680965,2.4848836039374755,2.947014068181904,5.419054669725296
3.404911357939508,0.38796405511181026,2.641974532451474,3.8623490612268077,7,36.24834428810265,1.247211480316139,3.3940238729624985,3.417994370132645,5.813436037397431,3.650512693597051,8.019422935894484,4,4.023093258710546,0.42047050109495787,0.11360882156130118,4.8831415925542405,2.3206176766393187,3.2725512401017114,7.269940905293005
3.421837262368797,1.0463572445568678,2.0,5.0,6,47.59382202272005,3.955496908185492,3.110449325433529,2.908452126709715,2.873253994058962,2.8346832139225353,5.610387252230727,4,3.419292177748627,-0.6231356801816368,0.30489710454237234,3.5633860824927974,3.5329731168095106,4.783680655877616,6.947891508245864
3.3615052741282554,0.6604564638660515,2.259469255147094,4.2385300866735625,7,42.189620678675546,3.9998508868801075,2.171987627646128,1.0171004986419638,7.047767291149508,0.8569666315705937,0.6381359040546664,1,2.8557456248183453,-0.9508010952104544,0.19589364695175238,3.193989429477812,3.085919257263118,4.390354478788806,5.241003516085503
3.032651720273195,0.6741423286630168,2.4436347095325788,4.150813773895736,6,73.94935665115385,3.6043159029970107,2.0497199402292723,4.902842265135632,3.7492905135932886,2.682046855225005,6.9344724089831145,3,2.663048898310623,-0.04884944882597697,0.2215640798357581,5.018325014621518,2.8270179216131415,3.9994279775495336,6.0217678135154635
3.105684067997988,0.5311052905093561,2.5265160861126086,3.6858029577288027,5,44.865717448833394,3.928818178477399,3.320099209267879,2.3983385995581616,1.3211564437901002,3.2120134869306503,0.6059691467330863,3,2.832352334055381,0.8038311550543531,0.17046185650351348,2.539277880968808,3.624458693872639,7.094962632135821,5.7371227119986585
4.212536901861186,0.5049774083656585,3.490845242024217,5.0,7,40.55410583527706,1.351863124052231,3.8259425400289007,2.0328175713482,2.3723222984358037,5.476840062653433,8.174688950164384,2,2.6993865223524818,-0.304049000680938,0.11959099946363463,2.479319147044068,2.588902832040566,4.976609604684415,6.47502460124079
3.4688188484115603,0.5214848767268789,2.5034089770304098,4.1216398359228865,8,65.6480303782937,3.9071222094210705,1.1326910281407558,1.8897718231764107,6.427472844593757,7.737885090780497,0.43034183306694396,2,5.0,-0.08987005953121496,0.14990285480515625,3.7356721636488595,2.5199066187809134,6.960023471039932,6.31254589894104
3.730437681955545,0.9747188267491381,2.5856237617355013,5.0,6,50.3738479055099,1.5467532788955318,3.2696063276948175,1.6352635846942714,0.5187610599699166,3.9570214483403165,1.373973810103708,3,2.8855898058107323,0.6120327690057565,0.26058951107549094,1.7630960764528198,2.408179803295175,7.354762192755564,6.48695845463703
3.5999393286202244,0.8494066738617257,2.2515543420501847,5.0,8,36.28426601899099,2.3580236290873753,1.6818381157865145,4.996548304866039,2.726890400480637,9.447569058520918,2.751075905232685,2,3.4730986074668873,0.1032702341614713,0.23529666194871546,4.573329003404239,2.019930872436945,7.989867584269198,6.399959552413482
3.5804237972569997,0.8438302262834891,2.55314146564437,5.0,9,36.4197425663454,4.7709810140025315,1.5614509255444022,2.1804378715264194,2.083114776421746,8.273499634411625,6.333647922608,2,3.4392611334665415,-1.155692623064208,0.2350224580530454,2.481330173158195,3.166215969773467,6.6189123117939594,6.720282531504666
3.9361115969517373,0.49770805402838897,3.2404836419460805,5.0,8,45.42908578565388,3.0115019106365604,3.492477952378738,2.6220539888971266,2.01135110676532,9.848018478837451,9.76359099631306,1,4.489320383382439,0.2386313188789857,0.12612619836014136,2.5851530281865247,3.2519899315076493,6.024358791919691,5.957407731301157
3.507737770823224,1.0440328027899863,2.0,5.0,6,55.53295612935284,4.869705728332056,2.243480468869892,4.485423664712355,6.827624119759711,8.762030410414818,1.1782285261993442,4,3.800561852784379,-0.4785151478922365,0.29679096931254795,5.932823816394808,3.556593098600974,6.918725921485255,7.00515851388215
4.1474346648212945,0.7583784173837309,3.0952959574125645,4.996339118252414,6,52.72000907842792,1.3556898355469502,2.763520932539456,3.5675500141715126,8.258169167543645,6.167259493093792,1.4270766921391842,2,3.7971461573828913,-0.10776926324079117,0.1824149935056958,5.4644230652955565,2.059605384043203,5.494004544470321,6.098289776547529
3.5726995929745953,0.3594010971442446,3.1736677177829633,4.045562377035971,5,61.4104656119287,2.9102263982527203,2.4399952377590917,2.47477764698109,7.158666080642587,5.984792878167189,3.688703967009803,2,3.6220699658727042,0.17074856475422262,0.1003157222137751,4.369407124868256,2.6751108180059058,5.0458076101716,5.381799728649731
4.060011297325992,0.640485986095375,3.4003798019250526,5.0,8,63.18599592902281,1.2496092811074826,3.593345280610095,4.593313743695412,6.457278158005122,1.2952612675421704,8.362191377553202,1,3.6925652770998405,-0.6739858736733377,0.1573671273384858,5.381301881798649,2.421477280858789,2.1585972439946155,6.040007531550661
3.40900212851798,0.5058278016960888,2.925244622998051,4.423483470727139,7,52.03219120517682,3.520841049597139,2.8804790642658755,3.9988968088544006,9.16451771817864,7.223992488915677,4.672309527508141,3,3.7255786093199754,0.08804340943237232,0.14794603298926515,6.2207704452958135,3.2006600569315076,4.462388414409632,6.606001419011986
3.565783659585531,0.3933489752670437,2.8224530102018694,4.086538691795482,8,69.51975722705886,1.3148280054740655,4.85383464815179,1.9116020301667986,0.5839238042429684,6.002068575926714,3.2161060025582167,2,3.0608146531736495,0.29744887609264925,0.11000357200374836,1.8023759548588554,3.0843313268129275,7.40067958970851,6.377189106390354
4.008333633092138,0.914948364726706,2.853361371715879,5.0,6,53.68675180884804,1.7014712101615093,2.4095310364258613,3.574955978399682,1.6748308597624073,5.069321033959847,5.612038322088613,4,2.8578483394392116,0.10296053043589692,0.22769347900628312,3.6082476055205905,2.055501123293685,5.927483950702943,7.338889088728092
3.547094323826914,0.9614207032311045,2.051894940003187,4.882198101947408,8,34.82902194160743,2.035321240277122,3.9611373610513407,4.689593993169606,4.144068556705322,6.932868725572886,2.6052319744575003,2,3.541049437222528,-0.4646253759433874,0.2702826002648016,4.841085514348177,2.9982293006642315,6.727856064803355,6.364729549217944
3.361798970332064,0.31681533860391425,2.944683237194005,3.6749464738209126,5,63.410782268299,3.994975406657933,2.029170270332178,2.98584351380165,3.7245164350386775,4.440478428379937,4.011599072475209,4,3.124153917556188,-0.10176738204443714,0.09396032841563903,3.898734487547326,3.0120728384950555,5.568120973622016,6.574532646888042
3.5923937556387013,0.7508361191365308,2.751003977377635,5.0,9,50.02830332149552,1.655848475272299,3.0350123705045875,3.9344496113266687,4.180516029630224,5.238596624082862,3.3260514923204187,3,3.629056664666375,-0.1066159555347288,0.2084269988424428,4.516471750761188,2.3454304228884433,5.910676367377405,7.394929170425801
3.076829592516923,0.9145677810461302,2.0,4.398142147838417,7,49.22341379842273,4.386528213172271,3.210279007607828,4.884414975956637,2.0645490504270603,3.9835230480325636,8.041410224146459,2,2.744514166025912,0.1868703269937848,0.29628061855543336,4.277793000780111,3.7984036103900496,4.625854591153015,5.7178863950112815
3.2971587579849744,0.873417607794148,2.352728904613981,5.0,7,35.96118341179914,1.5276157553232035,2.3164371242509287,3.7616565635808517,1.4950331558022834,7.173708933706898,9.242557264380007,4,2.468369394526717,0.48012661884931696,0.2640990867720891,3.6727820943213287,1.922026439787066,5.47870617117487,7.198105838656649
3.403010633329339,0.3260103648862579,2.7799074735408693,3.6536723045061192,6,31.906317556460625,1.1409777962806253,2.8871221156505165,1.4097547590643225,5.091932474579281,8.766109705478883,7.595721921569119,4,2.604473501082638,-0.13744141111465513,0.09551987963431566,3.3038139975693084,2.0140499559655707,5.359485103110161,6.93534042221956
3.6736085182913523,0.9677678212711154,2.1727267292898746,4.777690178016648,7,36.352660972579606,2.5801816758786713,2.1171145515939687,1.9782382037251574,9.280525240687936,8.408449391326027,4.390835760299835,4,3.4482852240783766,0.4537108973693633,0.2627227666744609,5.079000549379416,2.3486481137363198,4.912362796779418,7.4490723455275685
3.7403831059014903,0.9154328392954382,2.3937602152285313,5.0,9,29.575466009836582,4.917766567885181,1.024003126695928,3.3803857493705958,3.9196946234991703,7.860252720494688,5.043349774966638,3,2.3691019217197207,0.6097099200280347,0.24409048714381754,4.060155374080121,2.9708848472905545,6.299069440676294,7.49358873726766
3.794107268545119,0.4391643806324912,3.110299692988243,4.152681296391272,5,47.85677410445838,1.441368911155109,1.862593206551515,2.1022232614876244,0.43353214119528083,0.13787704544550916,1.2507369392943568,4,4.864761826645982,0.431559584030079,0.115444794173864,2.2126595547235097,1.651981058853312,6.1512026549852905,6.862738179030079
3.1576733911743733,0.6540954151635209,2.0,4.108200875708288,9,46.701298291934265,1.4068737761585162,3.8002566899728025,4.83016682155656,7.061673428895245,9.118804638774593,7.468647111345378,1,4.866562553856729,-0.5503709600751039,0.2064908007832915,5.740669024002789,2.6035652330656593,4.862828032844656,5.771782260782916
